Федеральный округ,Фед округ,Суб РФ,Субъект РФ,Колонка,Ряд,Latitude,Longitude,длина,кв.км,тыс кв.км,густота,относ
Уральский федеральный округ,УФО,Свер,Свердловская область,11,4,59.007735,61.931623,"3523,8",194307,"194,3","18,1","4,1"
Дальневосточный федеральный округ,ДФО,Амур,Амурская область,16,3,54.603506,127.480172,"2919,9",361908,"361,9","8,1","3,4"
Северо-Западный федеральный округ,СЗФО,Лен,Ленинградская область,2,2,60.079321,31.892665,"2549,8",83908,"83,9","30,4","3,0"
Сибирский федеральный округ,СФО,Ирк,Иркутская область,15,3,56.132142,103.948625,"2494,4",774846,"774,8","3,2","2,9"
Сибирский федеральный округ,СФО,Заб,Забайкальский край,15,5,53.092877,116.967656,"2397,5",431892,"431,9","5,6","2,8"
Приволжский федеральный округ,ПФО,Сар,Саратовская область,7,6,51.836926,46.75394,"2291,1",101240,"101,2","22,6","2,7"
Северо-Западный федеральный округ,СЗФО,Кар,Республика Карелия,3,1,63.15587,32.990555,"2225,6",180520,"180,5","12,3","2,6"
Центральный федеральный округ,ЦФО,Мос,Московская область,4,4,55.340396,38.291765,"2199,9",44329,"44,3","49,6","2,6"
Дальневосточный федеральный округ,ДФО,Хаб,Хабаровский край,17,3,50.588843,135,"2143,6",787633,"787,6","2,7","2,5"
Южный федеральный округ,ЮФО,Крдр,Краснодарский край,4,8,45.641529,39.705598,"2139,9",75485,"75,5","28,3","2,5"
Сибирский федеральный округ,СФО,Крас,Красноярский край,14,2,64.247976,95.110418,"2078,7",2366797,"2366,8","0,9","2,4"
Южный федеральный округ,ЮФО,Рос,Ростовская область,5,8,47.685325,41.825895,"1912,7",100967,"101,0","18,9","2,2"
Центральный федеральный округ,ЦФО,Твeр,Тверская область,3,3,57.002165,33.985314,"1806,8",84201,"84,2","21,5","2,1"
Уральский федеральный округ,УФО,Чел,Челябинская область,11,5,54.431942,60.878896,"1795,3",88529,"88,5","20,3","2,1"
Северо-Западный федеральный округ,СЗФО,Арх,Архангельская область,8,2,63.28528,42.588419,"1766,7",413103,"413,1","4,3","2,1"
Северо-Западный федеральный округ,СЗФО,Коми,Республика Коми,9,2,63.863054,54.831269,"1690,3",416774,"416,8","4,1","2,0"
Сибирский федеральный округ,СФО,Кем,Кемеровская область,14,3,54.757465,87.405529,"1681,4",95725,"95,7","17,6","2,0"
Южный федеральный округ,ЮФО,Волг,Волгоградская область,6,7,49.760452,45,"1617,2",112877,"112,9","14,3","1,9"
Приволжский федеральный округ,ПФО,Пер,Пермский край,9,3,58.823193,56.587248,"1574,4",160236,"160,2","9,8","1,8"
Сибирский федеральный округ,СФО,Ал. к.,Алтайский край,13,5,51.79363,82.67586,"1564,8",167996,"168,0","9,3","1,8"
Дальневосточный федеральный округ,ДФО,При,Приморский край,17,5,45.052564,135,"1558,7",164673,"164,7","9,5","1,8"
Сибирский федеральный округ,СФО,Ново,Новосибирская область,13,4,55.446713,80.104392,"1511,7",177756,"177,8","8,5","1,8"
Приволжский федеральный округ,ПФО,Орен,Оренбургская область,8,6,51.763403,54.618819,"1454,3",123702,"123,7","11,8","1,7"
Приволжский федеральный округ,ПФО,Бшк,Республика Башкортостан,9,5,54.231217,56.164526,"1450,7",142947,"142,9","10,1","1,7"
Приволжский федеральный округ,ПФО,Сам,Самарская область,8,5,53.418384,50.472553,"1374,2",53565,"53,6","25,7","1,6"
Сибирский федеральный округ,СФО,Бур,Республика Бурятия,15,4,54.833115,112.406053,1227,351334,"351,3","3,5","1,4"
Приволжский федеральный округ,ПФО,Ниж,Нижегородская область,6,4,55.799516,44.029677,"1208,1",76624,"76,6","15,8","1,4"
Центральный федеральный округ,ЦФО,Вор,Воронежская область,5,7,50.858971,39.864437,"1194,3",52216,"52,2","22,9","1,4"
Центральный федеральный округ,ЦФО,Смол,Смоленская область,2,4,54.988299,32.667738,"1156,4",49779,"49,8","23,2","1,3"
Северо-Западный федеральный округ,СЗФО,Новг,Новгородская область,3,2,58.242755,32.566519,"1143,7",54501,"54,5","21,0","1,3"
Приволжский федеральный округ,ПФО,Кир,Кировская область,8,3,58.419853,50.209725,"1095,1",120374,"120,4","9,1","1,3"
Северо-Западный федеральный округ,СЗФО,Пск,Псковская область,2,3,56.77086,29.094009,"1089,1",55399,"55,4","19,7","1,3"
Уральский федеральный округ,УФО,Хан,Ханты-Мансийский автономный округ — Югра,11,3,62.228706,70.641006,"1084,1",534801,"534,8","2,0","1,3"
Центральный федеральный округ,ЦФО,Курск,Курская область,3,6,51.763403,35.381181,"1055,8",29997,"30,0","35,2","1,2"
Центральный федеральный округ,ЦФО,Бря,Брянская область,2,5,53.04086,33.26909,"1008,4",34857,"34,9","28,9","1,2"
Центральный федеральный округ,ЦФО,Ряз,Рязанская область,5,5,54.387596,41.259566,"963,3",39605,"39,6","24,3","1,1"
Центральный федеральный округ,ЦФО,Тул,Тульская область,4,5,54.163768,37.564951,"947,5",25679,"25,7","36,9","1,1"
Северо-Кавказский федеральный округ,СКФО,Став,Ставропольский край,5,9,44.668099,43.520214,"921,8",66160,"66,2","13,9","1,1"
Центральный федеральный округ,ЦФО,Вла,Владимирская область,5,4,56.155347,40.592668,"920,5",29084,"29,1","31,6","1,1"
Уральский федеральный округ,УФО,Тюм,Тюменская область,12,3,56.963439,66.948278,"877,3",160122,"160,1","5,5","1,0"
Приволжский федеральный округ,ПФО,Тат,Республика Татарстан,8,4,55.180236,50.726394,"876,8",67847,"67,8","12,9","1,0"
Центральный федеральный округ,ЦФО,Калу,Калужская область,3,4,54.387267,35.188909,"872,2",29777,"29,8","29,3","1,0"
Северо-Западный федеральный округ,СЗФО,Мур,Мурманская область,4,0,67.844267,35.08841,"870,3",144902,"144,9","6,0","1,0"
Дальневосточный федеральный округ,ДФО,Схлн,Сахалинская область,19,3,49.980785,143.373813,"835,2",87101,"87,1","9,6","1,0"
Приволжский федеральный округ,ПФО,Пен,Пензенская область,6,6,53.141211,44.094005,831,43352,"43,4","19,2","1,0"
Приволжский федеральный округ,ПФО,Удм,Удмуртская Республика,9,4,57.067022,53.027795,"778,5",42061,"42,1","18,5","0,9"
Северо-Западный федеральный округ,СЗФО,Воло,Вологодская область,4,2,59.870671,40.655541,"765,3",144527,"144,5","5,3","0,9"
Центральный федеральный округ,ЦФО,Лип,Липецкая область,4,6,52.52647,39.203227,"756,7",24047,"24,0","31,5","0,9"
Уральский федеральный округ,УФО,Кург,Курганская область,12,4,55.448155,65.118097,"746,1",71488,"71,5","10,4","0,9"
Центральный федеральный округ,ЦФО,Там,Тамбовская область,5,6,52.641659,41.421645,"738,3",34462,"34,5","21,4","0,9"
Сибирский федеральный округ,СФО,Омск,Омская область,12,5,55.055467,73.316734,"727,6",141140,"141,1","5,2","0,8"
Центральный федеральный округ,ЦФО,Бел,Белгородская область,4,7,50.710693,37.753338,"699,9",27134,"27,1","25,8","0,8"
Приволжский федеральный округ,ПФО,Уль,Ульяновская область,7,5,53.979336,47.776242,697,37181,"37,2","18,7","0,8"
Северо-Западный федеральный округ,СЗФО,Кали,Калининградская область,0,3,54.823529,21.481616,"667,6",15125,"15,1","44,1","0,8"
Сибирский федеральный округ,СФО,Хак,Республика Хакасия,14,4,53.045228,90.398215,"666,9",61569,"61,6","10,8","0,8"
Центральный федеральный округ,ЦФО,Яро,Ярославская область,4,3,57.899152,38.838863,"651,6",36177,"36,2","18,0","0,8"
Центральный федеральный округ,ЦФО,Кос,Костромская область,6,3,58.550107,43.95411,"642,1",60211,"60,2","10,7","0,7"
Южный федеральный округ,ЮФО,Аст,Астраханская область,7,8,46.132117,48.061011,"629,6",49024,"49,0","12,8","0,7"
Южный федеральный округ,ЮФО,Крым,Республика Крым,2,8,44.952117,34.102417,"629,3",26081,"26,1","24,1","0,7"
Центральный федеральный округ,ЦФО,Орёл,Орловская область,3,5,52.745019,36.484963,"596,4",24652,"24,7","24,2","0,7"
Приволжский федеральный округ,ПФО,Мор,Республика Мордовия,6,5,54.236944,44.068397,"543,6",26128,"26,1","20,8","0,6"
Дальневосточный федеральный округ,ДФО,Саха,Республика Саха (Якутия),16,2,66.761345,124.123753,"524,5",3083523,"3083,5","0,2","0,6"
Дальневосточный федеральный округ,ДФО,Евр,Еврейская автономная область,16,4,48.480815,131.765737,"512,3",36271,"36,3","14,1","0,6"
Северо-Кавказский федеральный округ,СКФО,Даг,Республика Дагестан,7,9,42.143189,47.09498,"508,7",50270,"50,3","10,1","0,6"
Центральный федеральный округ,ЦФО,Мск,г. Москва,0,1,55.755826,37.6173,"502,4",2561,"2,6","196,2","0,6"
Уральский федеральный округ,УФО,Ямал,Ямало-Ненецкий автономный округ,11,2,66.065306,76.934519,"480,9",769250,"769,3","0,6","0,6"
Северо-Западный федеральный округ,СЗФО,Спб,г. Санкт-Петербург,0,0,59.93428,30.335099,"431,5",1403,"1,4","307,6","0,5"
Приволжский федеральный округ,ПФО,Чув,Чувашская Республика,7,4,55.559599,46.928353,"421,2",18343,"18,3","23,0","0,5"
Центральный федеральный округ,ЦФО,Ива,Ивановская область,5,3,57.105685,41.483008,"344,7",21437,"21,4","16,1","0,4"
Сибирский федеральный округ,СФО,Томск,Томская область,13,3,58.896988,82.67655,"343,9",314391,"314,4","1,1","0,4"
Северо-Кавказский федеральный округ,СКФО,Чеч,Чеченская Республика,6,9,43.40233,45.718747,"304,1",15647,"15,6","19,4","0,4"
Южный федеральный округ,ЮФО,Калм,Республика Калмыкия,6,8,46.567685,45.773161,"164,8",74731,"74,7","2,2","0,2"
Южный федеральный округ,ЮФО,Адыг,Республика Адыгея,3,8,44.822916,40.175446,"160,1",7792,"7,8","20,5","0,2"
Приволжский федеральный округ,ПФО,Мари,Республика Марий Эл,7,3,56.438457,47.960776,"152,2",23375,"23,4","6,5","0,2"
Северо-Кавказский федеральный округ,СКФО,Осeт,Республика Северная Осетия — Алания,5,10,43.04513,44.287097,"143,8",7987,"8,0","18,0","0,2"
Северо-Кавказский федеральный округ,СКФО,Каб,Кабардино-Балкарская Республика,4,10,43.393247,43.56285,"133,3",12470,"12,5","10,7","0,2"
Северо-Кавказский федеральный округ,СКФО,Кара,Карачаево-Черкесская Республика,4,9,43.884514,41.730394,"50,6",14277,"14,3","3,5","0,1"
Северо-Кавказский федеральный округ,СКФО,Инг,Республика Ингушетия,6,10,43.40517,44.8203,"38,8",3628,"3,6","10,7","0,0"
Дальневосточный федеральный округ,ДФО,Кам,Камчатский край,18,1,61.434398,166.788413,0,0,"0,0","0,0","0,0"
Дальневосточный федеральный округ,ДФО,Маг,Магаданская область,17,2,62.664342,153.914991,0,0,"0,0","0,0","0,0"
Северо-Западный федеральный округ,СЗФО,Нен,Ненецкий автономный округ,9,1,67.607834,57.633833,0,0,"0,0","0,0","0,0"
Сибирский федеральный округ,СФО,Алт,Республика Алтай,13,6,50.618192,86.219931,0,0,"0,0","0,0","0,0"
Сибирский федеральный округ,СФО,Тыва,Республика Тыва,14,5,51.887267,95.626017,0,0,"0,0","0,0","0,0"
Дальневосточный федеральный округ,ДФО,Чук,Чукотский автономный округ,17,1,65.629836,171.695216,0,0,"0,0","0,0","0,0"
